@RELATION audio_steganalysis

@ATTRIBUTE zcr REAL
@ATTRIBUTE entropy REAL
@ATTRIBUTE lsb_flipping_ratio REAL
@ATTRIBUTE lsb_flipping_rate REAL
@ATTRIBUTE median REAL
@ATTRIBUTE mean REAL
@ATTRIBUTE rms_amplitude REAL
@ATTRIBUTE short_time_energy REAL
@ATTRIBUTE short_time_average_magnitude REAL
@ATTRIBUTE pitch REAL
@ATTRIBUTE spectral_entropy REAL
@ATTRIBUTE spectral_centriod REAL
@ATTRIBUTE spectral_bandwidth REAL
@ATTRIBUTE spectral_rolloff REAL
@ATTRIBUTE spectral_irregularity REAL
@ATTRIBUTE spectral_variation REAL
@ATTRIBUTE spectral_smoothness REAL
@ATTRIBUTE class {male,female}

@DATA
250.9250,-2890.6883,922337203685477.6000,0.0000,-0.3474,4.4682,41.0624,4364098075.4920,735.5854,872.0313,-14549546.2996,1468.8255,1322.4983,2401.9531,48266.1892,8144181.6784,1016175.5474,female
183.1772,-5130.2845,922337203685477.6000,0.0000,0.8049,16.5738,90.1282,21522028886.6835,1980.3835,514.6690,-32611285.3759,1043.6526,958.5383,1916.6667,73743.5540,16127857.1330,2951936.7633,female
164.0419,-4551.1428,922337203685477.6000,0.0000,1.0174,-56.6707,25.7543,1191827787.4970,613.0651,413.8286,-7959993.1249,1009.0641,935.0009,1914.5771,59100.3055,3164904.7626,1069125.5038,female
284.9719,-6486.9662,922337203685477.6000,0.0000,-1.1506,5.2048,6.6553,109104779.0522,155.2968,580.9802,-2595832.3259,1529.4436,1389.7384,2720.0364,25635.8557,1431006.3239,370075.7132,female
263.1230,-4499.1436,922337203685477.6000,0.0000,0.6535,5.1429,45.8584,5297013012.8254,1013.5536,869.7297,-17088273.1726,1209.4469,1087.5732,1961.0925,62473.4495,8132656.1841,1838172.9387,female
256.7888,-4208.1511,922337203685477.6000,0.0000,5.0577,61.6897,58.2887,9306892475.5862,1253.4069,873.4510,-25632934.7099,1124.1197,1004.2068,1649.8855,66572.7176,10948860.0753,2747599.0658,female
265.0054,-5511.3676,922337203685477.6000,0.0000,-1.4156,-22.1838,21.0440,1082931667.7189,444.1504,792.5676,-7913771.4318,1247.3247,1131.2561,2222.3818,42910.6645,3868821.6789,890909.9151,female
203.5611,-4364.7227,922337203685477.6000,0.0000,-0.6207,76.5333,30.0612,1574363168.0000,665.1277,480.5990,-10424284.0658,1088.1772,1001.7066,1966.1024,68932.3917,3657268.9983,1404887.8852,female
370.6117,-4651.9339,922337203685477.6000,0.0000,-2.2155,2.8738,70.4435,12196293106.0194,1509.9815,1180.4081,-31440551.0116,1585.9811,1413.3109,2619.0837,74204.4602,14299987.1420,3213359.5412,female
170.9945,-4377.1827,922337203685477.6000,0.0000,1.5474,-3.7363,18.2861,664542432.0000,432.6572,474.7167,-6372356.9966,1133.2168,1049.0801,2148.5663,50982.2495,2350072.4549,892333.7804,female
